"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1796","1.8. Create and run DR for multiple storage locations - multiple Discrepancies Found","Inventory Reports","Thu May 29 21:16:07 UTC 2025","failed","Thu May 29 21:16:09 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","21623","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Thu May 29 21:21:55 UTC 2025","passed","Thu May 29 21:22:16 UTC 2025","","Edit Case","",""
"","16643","1.1.1 Add task with required fields only -- Unassigned-- keep template content-- search for task on the grid by Creator name-- verify values on grid","Add Task","Thu May 29 21:49:06 UTC 2025","failed","Thu May 29 21:49:23 UTC 2025","","1.1 Org Admin","",""
"","10660","1.2.1. Office Admin can create a new user account","Add User","Thu May 29 21:52:41 UTC 2025","failed","Thu May 29 21:52:51 UTC 2025","","1.2 Power User -- all permissions in Office","",""
"","748","3. Import Person with all fields - Precheck Only","","Thu May 29 21:17:54 UTC 2025","failed","Thu May 29 21:17:54 UTC 2025","","Import People","",""
"","0","6 Validation messages for blank values","","Thu May 29 21:16:57 UTC 2025","skipped","Thu May 29 21:16:57 UTC 2025","","Import Legacy Chain of Custody","",""
"","62122","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Thu May 29 21:31:25 UTC 2025","passed","Thu May 29 21:32:28 UTC 2025","","Edit User","",""
"","45799","3. Remove all optional values & check history records","","Thu May 29 21:26:50 UTC 2025","passed","Thu May 29 21:27:35 UTC 2025","","Edit Item","",""
"","0","5 Validation messages for invalid values","","Thu May 29 21:16:57 UTC 2025","skipped","Thu May 29 21:16:57 UTC 2025","","Import Legacy Chain of Custody","",""
"","774","8 Validation messages for invalid values","","Thu May 29 21:17:41 UTC 2025","failed","Thu May 29 21:17:41 UTC 2025","","Import Notes","",""
"","3","A.U_3. Add External User","Add User","Thu May 29 21:52:41 UTC 2025","skipped","Thu May 29 21:52:41 UTC 2025","","1.1 Org Admin","",""
"","0","2 Import Locations with required fields - verify default properties","","Thu May 29 21:17:18 UTC 2025","skipped","Thu May 29 21:17:18 UTC 2025","","Import Locations","",""
"","17789","A.M_3. Add Media to Person","","Thu May 29 21:41:36 UTC 2025","passed","Thu May 29 21:41:54 UTC 2025","","Add Media","",""
"","9547","2.1. verify that user can add all values","Add Person","Thu May 29 21:45:30 UTC 2025","failed","Thu May 29 21:45:39 UTC 2025","","2. Power User -- all permissions in Office","",""
"","706","2 Import Media - Precheck Only","","Thu May 29 21:17:28 UTC 2025","failed","Thu May 29 21:17:29 UTC 2025","","Import Media","",""
"","48934","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Thu May 29 21:24:03 UTC 2025","passed","Thu May 29 21:24:52 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","2","5 Five thousand notes for Item and verify notes count on search","","Thu May 29 21:17:39 UTC 2025","skipped","Thu May 29 21:17:39 UTC 2025","","Import Notes","",""
"","1","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again","Add Case","Thu May 29 21:16:30 UTC 2025","skipped","Thu May 29 21:16:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","89030","3.2. --- with required Custom Form but not filled out, all optional fields on Form","Add Person","Thu May 29 21:46:56 UTC 2025","failed","Thu May 29 21:48:25 UTC 2025","","3. Add Person with Custom Form","",""
"","45075","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action","Add Item","Thu May 29 21:30:30 UTC 2025","passed","Thu May 29 21:31:15 UTC 2025","","1. Org Admin","",""
"","30417","4. Edit and verify reduced number of values on Item View page ","","Thu May 29 21:27:37 UTC 2025","passed","Thu May 29 21:28:07 UTC 2025","","Edit Item","",""
"","30633","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Thu May 29 21:29:41 UTC 2025","passed","Thu May 29 21:30:11 UTC 2025","","Edit Person","",""
"","0","I.C_5 Case Import - Precheck Only","","Thu May 29 21:16:29 UTC 2025","skipped","Thu May 29 21:16:29 UTC 2025","","Import Cases","",""
"","1","I.C.U_2 Case Updates Import - Precheck Only","","Thu May 29 21:16:20 UTC 2025","skipped","Thu May 29 21:16:20 UTC 2025","","Import Case Updates","",""
"","21346","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again","Add Person","Thu May 29 21:44:37 UTC 2025","passed","Thu May 29 21:44:58 UTC 2025","","1. Org Admin","",""
"","66494","A.N_1. Add Note to Case","","Thu May 29 21:42:31 UTC 2025","failed","Thu May 29 21:43:38 UTC 2025","","Add Notes","",""
"","52537","A.M_1. Add Media to Case","","Thu May 29 21:40:22 UTC 2025","passed","Thu May 29 21:41:15 UTC 2025","","Add Media","",""
"","1","3 Validation messages for not mapped fields","","Thu May 29 21:16:57 UTC 2025","skipped","Thu May 29 21:16:57 UTC 2025","","Import Legacy Chain of Custody","",""
"","720","3 Import Notes for Case - Precheck Only","","Thu May 29 21:17:39 UTC 2025","failed","Thu May 29 21:17:39 UTC 2025","","Import Notes","",""
"","742","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Thu May 29 21:17:52 UTC 2025","failed","Thu May 29 21:17:53 UTC 2025","","Import People","",""
"","1","I.C_2 Case with minimum number of fields","","Thu May 29 21:16:29 UTC 2025","skipped","Thu May 29 21:16:29 UTC 2025","","Import Cases","",""
"","18759","Add User ","","Thu May 29 21:49:34 UTC 2025","failed","Thu May 29 21:49:53 UTC 2025","","Add User","",""
"","0","4. Import update for item status (Disposal transaction)","","Thu May 29 21:16:40 UTC 2025","skipped","Thu May 29 21:16:40 UTC 2025","","Import Item Updates","",""
"","727","7 Validation messages for wrongly formatted values","","Thu May 29 21:17:40 UTC 2025","failed","Thu May 29 21:17:41 UTC 2025","","Import Notes","",""
"","0","1.5 Org Admin-- minimum case fields -- redirect to Media tab on Case View page","Add Case","Thu May 29 21:16:30 UTC 2025","skipped","Thu May 29 21:16:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","0","2 Import Person with all updated fields - Precheck Only","","Thu May 29 21:18:03 UTC 2025","skipped","Thu May 29 21:18:03 UTC 2025","","Import People Updates","",""
"","1","1.6 Org Admin-- minimum case fields -- redirect to Notes tab on Case View page","Add Case","Thu May 29 21:16:30 UTC 2025","skipped","Thu May 29 21:16:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","54175","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ","Add Item","Thu May 29 21:27:57 UTC 2025","passed","Thu May 29 21:28:51 UTC 2025","","1. Org Admin","",""
"","703","1 Import Notes for Case","","Thu May 29 21:17:37 UTC 2025","failed","Thu May 29 21:17:38 UTC 2025","","Import Notes","",""
"","738","2 Import Notes for Item","","Thu May 29 21:17:38 UTC 2025","failed","Thu May 29 21:17:39 UTC 2025","","Import Notes","",""
"","260","2. Verify Transfer transaction and enabled/disabled actions for Checked Out item","","Thu May 29 21:34:34 UTC 2025","failed","Thu May 29 21:34:34 UTC 2025","","Item Transactions & Actions","",""
"","40272","5.1 verify Office Default Case Number Prefix","Add Case","Thu May 29 21:20:34 UTC 2025","failed","Thu May 29 21:21:14 UTC 2025","","5. --- with Default Case Number in Office ","",""
"","1","1.1 Org Admin-- All fields enabled -- redirect to View Added Case","Add Case","Thu May 29 21:16:30 UTC 2025","broken","Thu May 29 21:16:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","151","1.2 Validation messages","","Thu May 29 21:17:04 UTC 2025","failed","Thu May 29 21:17:04 UTC 2025","","Login page","",""
"","0","5. Import update for item status (Undispose transaction)","","Thu May 29 21:16:40 UTC 2025","skipped","Thu May 29 21:16:40 UTC 2025","","Import Item Updates","",""
"","113379","7.1 verify all values are properly saved to the custom form -single user in custom User/User Group field","Add Case","Thu May 29 21:22:02 UTC 2025","passed","Thu May 29 21:23:55 UTC 2025","","7. --- with required Custom Form filled out, all required fields on Form","",""
"","0","7. Item Updates Import - Precheck Only","","Thu May 29 21:16:40 UTC 2025","skipped","Thu May 29 21:16:40 UTC 2025","","Import Item Updates","",""
"","15221","A.M_4. Add Media to Task","","Thu May 29 21:41:54 UTC 2025","passed","Thu May 29 21:42:09 UTC 2025","","Add Media","",""
"","0","1.2. DR for single child location - No Discrepancies Found","Inventory Reports","Thu May 29 21:16:07 UTC 2025","skipped","Thu May 29 21:16:07 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","0","6. Import update for item status (CheckIn transaction)","","Thu May 29 21:16:40 UTC 2025","skipped","Thu May 29 21:16:40 UTC 2025","","Import Item Updates","",""
"","575","2.1 Cancelling warning keeps user logged in on other machine","Login page","Thu May 29 21:17:04 UTC 2025","failed","Thu May 29 21:17:05 UTC 2025","","2. Warning that user is logged in on other browser or device","",""
"","822","I.T_1.2 Import Legacy Tasks for Case - Precheck Only","","Thu May 29 21:17:08 UTC 2025","failed","Thu May 29 21:17:09 UTC 2025","","Import Tasks","",""
"","207","S.I_1. Search by Item Description","","Thu May 29 21:16:44 UTC 2025","failed","Thu May 29 21:16:44 UTC 2025","","Search Item","",""
"","33255","6.1 verify Auto Assigned Case Number with Default Case Number Prefix","Add Case","Thu May 29 21:21:21 UTC 2025","passed","Thu May 29 21:21:55 UTC 2025","","6. --- with Auto Assigned Case Number ","",""
"","1","1. Import updates for all item fields","","Thu May 29 21:16:40 UTC 2025","broken","Thu May 29 21:16:40 UTC 2025","","Import Item Updates","",""
"","112269","3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add Item","Thu May 29 21:33:48 UTC 2025","failed","Thu May 29 21:35:41 UTC 2025","","3 Add Item with Custom Form","",""
"","80545","2. Edit and verify all values on Item View page -- keep the previous values in multiselect fields  - Tags & Item Belongs To; 2.1. hitting *enter* button does not wipe out Additional Barcode","","Thu May 29 21:25:29 UTC 2025","passed","Thu May 29 21:26:49 UTC 2025","","Edit Item","",""
"","0","1.3 Org Admin-- minimum case fields -- redirect to Add Item page","Add Case","Thu May 29 21:16:30 UTC 2025","skipped","Thu May 29 21:16:30 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","37697","7. Remove all optional values & check history records","","Thu May 29 21:22:17 UTC 2025","passed","Thu May 29 21:22:54 UTC 2025","","Edit Case","",""
"","22277","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Thu May 29 21:21:32 UTC 2025","passed","Thu May 29 21:21:55 UTC 2025","","Edit Case","",""
"","17255","1.2. Optional fields disabled -- redirect to View Added Item -- Item Belongs To Shows All People"" turned OFF in Org Settings -- multiple values selected for ""Item Belongs to"" and Tags","Add Item","Thu May 29 21:28:51 UTC 2025","failed","Thu May 29 21:29:08 UTC 2025","","1. Org Admin","",""
"","1","I.C.U_1. Import Case Updates - all fields -- user and user group in Case Officer(s) field","","Thu May 29 21:16:20 UTC 2025","broken","Thu May 29 21:16:20 UTC 2025","","Import Case Updates","",""
"","57100","1. Edit and verify all values on Case View page -- replace the current values in multiselect fields (Case Officers, Tags)","","Thu May 29 21:18:31 UTC 2025","passed","Thu May 29 21:19:28 UTC 2025","","Edit Case","",""
